model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
BlackBerry Classic Non Camera|||Released 2015, March|||178g, 10.2mm thickness|||BlackBerry OS 10.3.1|||16GB storage, microSDXC|||3.5"|||720x720 pixels|||MISSING|||MISSING|||No video recorder|||2|||GB RAM|||MISSING|||2515|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg
BlackBerry 8800|||Released 2007, February|||134g, 14mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, microSD slot|||2.5"|||320x240 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Silver|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8800.gif
BlackBerry Bold 9790|||Released 2011, December|||107g, 11.4mm thickness|||BlackBerry OS 7.0|||8GB storage, microSDHC|||2.45"|||480x360 pixels|||5|||MP|||480p|||768|||MB RAM|||MISSING|||1230|||mAh|||Li-Ion|||1|||Black, White|||8GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9790.jpg
BlackBerry 8820|||Released 2007, July|||134g, 14mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, microSD slot|||2.5"|||320x240 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1400|||mAh|||Li-Ion|||1|||Silver|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8820.gif
BlackBerry 8700c|||Released 2004, Q4|||134g, 19.5mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, no card slot|||2.6"|||320x240 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1100|||mAh|||Li-Ion|||1|||MISSING|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-8700c.gif
BlackBerry Keyone|||Released 2017, April|||180g, 9.4mm thickness|||Android 7.1, up to Android 8.1|||32GB/64GB storage, microSDXC|||4.5"|||1080x1620 pixels|||12|||MP|||2160p|||3/4|||GB RAM|||Snapdragon 625|||3500|||mAh|||Li-Ion|||2|||Black/Silver, Black, Bronze|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg
BlackBerry Curve 8900|||Released 2008, November|||110g, 13.5mm thickness|||BlackBerry OS|||256MB ROM storage, microSDHC slot|||2.4"|||480x360 pixels|||3|||MP|||144p|||MISSING|||MISSING|||MISSING|||1400|||mAh|||Li-Ion|||1|||Black|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/bb-curve-8900.jpg
BlackBerry 7130g|||Released 2006, June|||120g, 18mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, no card slot|||2.4"|||240x260 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1100|||mAh|||Li-Ion|||1|||MISSING|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130g.gif
BlackBerry 7100v|||Released 2004, Q4|||120g, 20mm thickness|||BlackBerry OS|||32MB 4MB RAM storage, no card slot|||2.37"|||240x260 pixels|||MISSING|||MISSING|||No video recorder|||4|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||MISSING|||32MB|||4MB|||https://fdn2.gsmarena.com/vv/bigpic/bb7100v.gif
BlackBerry Q5|||Released 2013, June|||120g, 10.8mm thickness|||BlackBerry OS 10.2, up to 10.3.1|||8GB storage, microSDHC|||3.1"|||720x720 pixels|||5|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||2180|||mAh|||Li-Ion|||1|||Black, White, Red, Gray, Pink|||8GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-q5.jpg
BlackBerry Leap|||Released 2015, April|||170g, 9.5mm thickness|||BlackBerry OS 10.3.1|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||2|||GB RAM|||Snapdragon S4 Plus|||2800|||mAh|||Li-Ion|||1|||Black, White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg
BlackBerry Curve 8330|||Released 2007, December|||113g, 15mm thickness|||BlackBerry OS|||32MB ROM storage, microSDHC slot|||2.5"|||320x240 pixels|||2|||MP|||Video recorder|||32|||MB RAM|||MISSING|||1150|||mAh|||Li-Ion|||1|||Titanium, Pink, Black|||32MB,96MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8330.jpg
BlackBerry Curve 8520|||Released 2009, August|||106g, 13.9mm thickness|||BlackBerry OS 5.0|||256MB storage, microSDHC slot|||2.46"|||320x240 pixels|||2|||MP|||240p|||MISSING|||MISSING|||MISSING|||1150|||mAh|||Li-Ion|||1|||Black|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/bb-curve-8520.jpg
BlackBerry Curve 8320|||Released 2007, September|||111g, 15.5mm thickness|||BlackBerry OS|||64MB ROM storage, microSDHC slot|||2.5"|||320x240 pixels|||2|||MP|||180p|||MISSING|||MISSING|||MISSING|||1100|||mAh|||Li-Ion|||1|||Titanium, Pale Gold|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-8320.gif
BlackBerry Evolve|||Released 2018, October|||170g, 8.4mm thickness|||Android 8.1|||64GB storage, microSDXC|||5.99"|||1080x2160 pixels|||13|||MP|||1080p|||4|||GB RAM|||Snapdragon 450|||4000|||mAh|||Li-Ion|||2|||Black|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg
BlackBerry Torch 9810|||Released 2011, August|||161g, 14.6mm thickness|||BlackBerry OS 7.0|||8GB storage, microSDHC|||3.2"|||480x640 pixels|||5|||MP|||720p|||768|||MB RAM|||MISSING|||1270|||mAh|||Li-Ion|||1|||Black, Gray|||8GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/bb-torch-9810-new.jpg
BlackBerry Bold 9700|||Released 2009, November|||122g, 14mm thickness|||BlackBerry 5.0, up to 6.0|||256MB 256MB RAM storage, microSDHC slot|||2.44"|||480x360 pixels|||3|||MP|||Video recorder|||256|||MB RAM|||MISSING|||1500|||mAh|||Li-Ion|||1|||Black, White|||256MB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9700-new.jpg
BlackBerry 7130v|||Released 2006, June|||120g, 18mm thickness|||BlackBerry OS|||64MB 16MB RAM storage, no card slot|||2.4"|||240x260 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1100|||mAh|||Li-Ion|||1|||MISSING|||64MB|||16MB|||https://fdn2.gsmarena.com/vv/bigpic/blackberry-7130v.gif
BlackBerry Torch 9860|||Released 2011, September|||135g, 11.5mm thickness|||BlackBerry OS 7|||4GB 768MB RAM storage, microSDHC slot|||3.7"|||480x800 pixels|||5|||MP|||720p|||768|||MB RAM|||MISSING|||1230|||mAh|||Li-Ion|||1|||Black|||4GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/bb-torch-9860-new.jpg
BlackBerry Storm3|||Released Not officially announced yet|||MISSING|||BlackBerry OS 6.1|||8GB storage, microSDHC|||3.7"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||MISSING|||1230|||mAh|||Li-Ion|||1|||Black|||8GB|||512MB|||MISSING
BlackBerry 7100t|||Released 2004, Q4|||120g, 19mm thickness|||BlackBerry OS|||32MB 4MB RAM storage, no card slot|||2.36"|||240x260 pixels|||MISSING|||MISSING|||No video recorder|||4|||MB RAM|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||MISSING|||32MB|||4MB|||https://fdn2.gsmarena.com/vv/bigpic/bb7100t.gif
