model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Huawei Watch GT Runner|||Released 2021, November 26|||38.5g, 11mm thickness|||HarmonyOS 2.0|||4GB storage, no card slot|||1.43"|||466x466 pixels|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||455|||mAh|||Li-Po|||1|||Black, Gray|||4GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-gt-runner.jpg
Huawei MediaPad 10 FHD|||Released 2012, September|||580g, 8.8mm thickness|||Android 4.0|||8GB/16GB/64GB storage, microSDHC|||10.0"|||1920x1200 pixels|||8|||MP|||1080p|||2|||GB RAM|||MISSING|||6600|||mAh|||Li-Po|||1|||White|||8GB,16GB,32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei_mediapad10_fhd.jpg
Huawei G10|||Cancelled|||164g, 7.5mm thickness|||Android 7.1, EMUI 5.1|||64GB storage, microSDXC|||5.9"|||1080x1920 pixels|||12|||MP|||1080p|||4|||GB RAM|||Kirin 659|||3340|||mAh|||Li-Ion|||2|||White/Gold, Black|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-g10-.jpg
Huawei MediaPad M5 8|||Released 2018, April|||316g, 7.3mm thickness|||Android 8.0, EMUI 8|||32GB/64GB/128GB storage, microSDXC|||8.4"|||2560x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Kirin 960s|||5100|||mAh|||Li-Po|||1|||Space Gray, Champagne Gold|||32GB,64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-8.jpg
Huawei Ascend GX1|||Released 2014, December|||173g, 9.2mm thickness|||Android 4.4|||8GB storage, microSDHC|||6.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon 410|||3500|||mAh|||Li-Ion|||2|||White, Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-gx1.jpg
Huawei Y Max|||Released 2018, December|||210g, 8.5mm thickness|||Android 8.1, EMUI 8.2|||128GB storage, microSDXC|||7.12"|||1080x2244 pixels|||16|||MP|||1080p|||4|||GB RAM|||Snapdragon 660|||5000|||mAh|||Li-Po|||2|||Midnight Black, White, Amber Brown|||128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-y-max-ars-l22.jpg
Huawei MediaPad 7 Youth2|||Released 2014, March|||350g, 9.9mm thickness|||Android 4.3, EMUI 1.6|||4GB/8GB storage, microSDHC|||7.0"|||600x1024 pixels|||3|||MP|||Video recorder|||1|||GB RAM|||MISSING|||4100|||mAh|||Li-Po|||1|||Black/Gold|||4GB,8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-7-youth2.jpg
Huawei Y6 Pro|||Released 2015, October|||160g, 9.7mm thickness|||Android 5.1.1, EMUI 3.1 Lite|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||720p|||2|||GB RAM|||MT6735P|||4000|||mAh|||Li-Po|||2|||Gray, Gold, White|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-5.jpg
Huawei U8230|||Released 2009|||14mm thickness|||Android 2.1|||256MB RAM storage, microSDHC slot|||3.5"|||320x480 pixels|||3|||MP|||MISSING|||256|||MB RAM|||MSM7200A|||1500|||mAh|||Li-Ion|||1|||White, Black|||256MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/huawei-u8230.jpg
Huawei Mate 40 Pro+|||Released 2020, November 01|||230g, 8.8mm thickness|||Android 10, EMUI 11, no Google Play Services|||256GB storage, NM|||6.76"|||1344x2772 pixels|||50|||MP|||2160p|||8/12|||GB RAM|||Kirin 9000 5G|||4400|||mAh|||Li-Po|||2|||Ceramic White, Ceramic Black|||256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/huawei-mate40-pro-plus.jpg
