model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
ZTE nubia Watch|||Released 2020, August 05|||98g, 14.2mm thickness|||Proprietary OS|||8GB storage, no card slot|||4.01"|||192x960 pixels|||MISSING|||MISSING|||MISSING|||1|||GB RAM|||Snapdragon Wear 2100|||420|||mAh|||Li-Ion|||1|||Black, Red, Green|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-watch.jpg
ZTE Blade A71|||Released 2021, October 07|||180g, 8.2mm thickness|||Android 11|||64GB storage, microSDXC|||6.52"|||720x1600 pixels|||16|||MP|||1080p|||3|||GB RAM|||Unisoc SC9863A|||4000|||mAh|||Li-Ion|||2|||Blue, Gray, Green|||64GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a71.jpg
ZTE Blade V8 Mini|||Released 2017, July|||141g, 8.9mm thickness|||Android 7.0|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 435|||2800|||mAh|||Li-Ion|||2|||Gold, Rose Gold|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v8-mini.jpg
ZTE Maven|||Released 2015, June|||133.5g, 9.9mm thickness|||Android 5.1|||8GB storage, microSDHC|||4.5"|||480x854 pixels|||5|||MP|||Video recorder|||1|||GB RAM|||Snapdragon 410|||2100|||mAh|||Li-Ion|||1|||Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-maven.jpg
ZTE Avid Plus|||Released 2016, January|||164.4g, 10.9mm thickness|||Android 5.1|||8GB storage, microSDHC|||5.0"|||480x854 pixels|||5|||MP|||720p|||1|||GB RAM|||Snapdragon 210|||2300|||mAh|||Li-Ion|||1|||Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-avid-plus1.jpg
ZTE F951|||Released 2010|||100g, 12.6mm thickness|||Feature phone|||microSDHC slot|||3.2"|||240x400 pixels|||5|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1250|||mAh|||Li-Ion|||1|||Black|||MISSING|||MISSING|||MISSING
ZTE Grand X Max+|||Released 2015, January|||171.8g, 7.9mm thickness|||Android 4.4.4|||16GB storage, microSDHC|||6.0"|||720x1280 pixels|||8|||MP|||Video recorder|||2|||GB RAM|||Snapdragon 400|||3200|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-x-max-plus.jpg
ZTE Watch GT|||Released 2021, March 31|||30g, 12.4mm thickness|||Proprietary OS|||No card slot|||1.39"|||454x454 pixels|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||420|||mAh|||Li-Ion|||1|||Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-watch-gt.jpg
ZTE Blade S7|||Released 2015, October|||131g, 7.2mm thickness|||Android 5.1, MiFavor UI|||32GB storage, microSDXC|||5.0"|||1080x1920 pixels|||13|||MP|||1080p|||3|||GB RAM|||Snapdragon 615|||2500|||mAh|||Li-Ion|||2|||Black, White, Yellow|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-s7--.jpg
ZTE Axon 30 Ultra 5G|||Released 2021, April 19|||188g, 8mm thickness|||Android 11, MyOS 11|||128GB/256GB/1TB storage, no card slot|||6.67"|||1080x2400 pixels|||64|||MP|||4320p|||8-18|||GB RAM|||Snapdragon 888 5G|||4600|||mAh|||Li-Po|||2|||Black, White, Blue, Light Brown, Aerospace Edition|||128GB,256GB,1TB|||8GB,12GB,16GB,18GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon-30-ultra.jpg
ZTE Axon 20 5G Extreme|||Released 2020, December 22|||198g, 8mm thickness|||Android 10, MiFavor 10.5|||256GB storage, microSDXC|||6.92"|||1080x2460 pixels|||64|||MP|||2160p|||12|||GB RAM|||Snapdragon 765G 5G|||4220|||mAh|||Li-Ion|||2|||Sunrise Yellow|||256GB|||12GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon-20-5g-extreme-.jpg
ZTE V9|||Released 2011, Q1|||403g, 12.6mm thickness|||Android 2.1, up to 2.2|||512MB 512MB RAM storage, microSDHC slot|||7.0"|||480x800 pixels|||3|||MP|||Video recorder|||512|||MB RAM|||MISSING|||3400|||mAh|||Li-Ion|||1|||Black|||512MB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/zte-v9.jpg
ZTE S302|||Released 2009|||79g, 14.8mm thickness|||Feature phone|||No card slot||| |||128x48 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||1000|||mAh|||Li-Ion|||1|||Black, White on Orange|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-s302.jpg
ZTE S213|||Released 2010, October|||95g, 13.3mm thickness|||Feature phone|||64MB storage, microSD slot|||1.5"|||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||650|||mAh|||Li-Ion|||2|||Red, Black, Pink|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-s213.jpg
ZTE Blade V7 Lite|||Released 2016, February|||135g, 7.9mm thickness|||Android 6.0|||16GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||MT6735P|||2500|||mAh|||Li-Ion|||2|||Silver|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v7-lite.jpg
ZTE Blade A6|||Released 2017, September|||160g, 8.5mm thickness|||Android 7.1, MiFavor 4.2|||32GB storage, microSDXC|||5.2"|||720x1280 pixels|||13|||MP|||1080p|||3|||GB RAM|||Snapdragon 435|||5000|||mAh|||Li-Ion|||2|||Black, Silver|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a6.jpg
ZTE Red Magic Watch|||Released 2021, March 11|||30g, 12.4mm thickness|||Proprietary OS|||No card slot|||1.39"|||454x454 pixels|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||420|||mAh|||Li-Ion|||1|||Black, Silver|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-red-magic-watch.jpg
ZTE Director|||Released 2013, April|||140g, 12.2mm thickness|||Android 4.0|||4GB 512MB RAM storage, microSDHC slot|||3.5"|||320x480 pixels|||3|||MP|||Video recorder|||512|||MB RAM|||MSM7626A|||1500|||mAh|||Li-Ion|||1|||Black|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/zte-director.jpg
ZTE Watch Live|||Released 2020, December 03|||35.7g, 10.8mm thickness|||Proprietary OS|||No card slot|||1.3"|||240x240 pixels|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-watch.jpg
ZTE Blade L110 (A110)|||Released 2016, July|||110g, 10.4mm thickness|||Android 5.1|||4GB/8GB storage, microSDHC|||4.0"|||480x800 pixels|||5|||MP|||Video recorder|||1|||GB RAM|||Spreadtrum SC7731G|||1400|||mAh|||Li-Ion|||1|||Black|||4GB,8GB|||512MB,1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-blade-l110.jpg
ZTE Redbull V5 V9180|||Released 2014, April|||165g, 8.9mm thickness|||Android 4.3|||4GB 1GB RAM storage, microSDHC slot|||5.0"|||720x1280 pixels|||13|||MP|||Video recorder|||1|||GB RAM|||Snapdragon 400|||2400|||mAh|||Li-Po|||2|||Black/White, Black/Blue, Black/Yellow, Black/Red|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-redbull-v5.jpg
ZTE Sage|||Released 2010|||80g, 13.5mm thickness|||Feature phone|||10MB storage, microSDHC slot||| |||MISSING|||1.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||MISSING|||MISSING|||Li-Ion|||1|||Black|||10MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/zte-sage-orange-lisbon.jpg
ZTE Tempo Go|||Released 2018, March|||9.1mm thickness|||Android 8.1 Oreo|||8GB storage, microSDHC|||5.0"|||480x854 pixels|||5|||MP|||720p|||1|||GB RAM|||Snapdragon 210|||2200|||mAh|||Li-Ion|||1|||Gray|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-tempo-go.jpg
ZTE Grand S II S291|||Released 2014, April|||150g, 9.1mm thickness|||Android 4.3|||16GB storage, microSDHC|||5.5"|||1080x1920 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 801|||3100|||mAh|||Li-Ion|||1|||Silver|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-grand-s-ii.jpg
ZTE Axon 30 5G|||Released 2021, August 03|||189g, 7.8mm thickness|||Android 11, MyOS 11|||128GB/256GB storage, microSDXC|||6.92"|||1080x2460 pixels|||64|||MP|||2160p|||6-12|||GB RAM|||Snapdragon 870 5G|||4200|||mAh|||Li-Ion|||2|||Black, Aqua|||128GB,256GB|||6GB,8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/zte-axon30-5g.jpg
