model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
LG Optimus 2X|||Released 2011, February|||139g, 10.9mm thickness|||Android 2.2, 2.3, up to 4.0|||8GB storage, microSDHC|||4.0"|||480x800 pixels|||8|||MP|||1080p|||512|||MB RAM|||Nvidia Tegra 2 AP20H|||1500|||mAh|||Li-Ion|||1|||Black|||8GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/LG-Optimus-2X-new.jpg
LG GM650s|||Released 2010, August|||127g, 13.9mm thickness|||Feature phone|||No card slot|||3.0"|||240x400 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1250|||mAh|||Li-Ion|||1|||Black|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/LG-GM650s.jpg
LG W31|||Released 2020, December 23|||173.6g, 8.4mm thickness|||Android 10|||64GB/128GB storage, microSDXC|||6.52"|||720x1600 pixels|||13|||MP|||1080p|||4|||GB RAM|||Helio P22|||4000|||mAh|||Li-Po|||2|||Midnight Blue|||64GB,128GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg
LG G Pad 7.0|||Released 2014, July|||293g, 10.1mm thickness|||Android 4.4.2, up to 5.0|||8GB storage, microSDXC|||7.0"|||800x1280 pixels|||3|||MP|||720p|||1|||GB RAM|||Snapdragon 400|||4000|||mAh|||Li-Ion|||1|||Black, White, Luminous Orange, Luminous Blue|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-g-pad-70-2014.jpg
LG GW300|||Released 2009, October|||95g, 12.8mm thickness|||Feature phone|||15MB storage, microSDHC slot|||2.4"|||320x240 pixels|||2|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Po|||1|||Black, Blue|||15MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gw300.jpg
LG KM380|||Released 2008, July|||79g, 13mm thickness|||Feature phone|||40MB storage, microSDHC slot|||2.0"|||240x320 pixels|||1.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||800|||mAh|||Li-Ion|||1|||Black|||40MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-km380.jpg
LG M4330|||Cancelled|||110 g|||Feature phone|||No card slot||| |||176x220 pixels|||0.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||MISSING|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-m4330.gif
LG U370|||Released 2008, June|||89g, 17.6mm thickness|||Feature phone|||60MB storage, microSD slot|||2.0"|||176x220 pixels|||1.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||860|||mAh|||Li-Ion|||1|||Black|||60MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-u370.jpg
LG C1100|||Released 2004, Q1|||85g, 22.5mm thickness|||Feature phone|||1MB storage, no card slot||| |||128x128 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||780|||mAh|||Li-Ion|||1|||Silver|||1MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lgc1100.gif
LG Stylo 2|||Released 2016, April|||144.6g, 7.4mm thickness|||Android 6.0|||16GB storage, microSDXC|||5.7"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 410|||3000|||mAh|||Li-Ion|||1|||Black|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-stylo2-1.jpg
LG GU200|||Released 2010|||86g, 15.9mm thickness|||Feature phone|||1MB storage, no card slot|||1.77"|||128x160 pixels|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black|||1MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gu200.jpg
LG U880|||Released 2005, October|||99g, 18.2mm thickness|||Feature phone|||75MB storage, microSD slot|||2.0"|||176x220 pixels|||1.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||1050|||mAh|||Li-Ion|||1|||4 - glossy black, matt black, silver, pink|||75MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-u880.gif
LG Optimus Chic E720|||Released 2010, November|||132g, 12.9mm thickness|||Android 2.2|||150MB storage, microSDHC slot|||3.2"|||320x480 pixels|||5|||MP|||480p|||MISSING|||MISSING|||MISSING|||1250|||mAh|||Li-Po|||1|||Black, White|||150MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-e720-chic-ofic-ofic-new.jpg
LG Optimus Pro C660|||Released 2011, September|||129g, 12.9mm thickness|||Android 2.3.3|||512MB 256MB RAM storage, microSDHC slot|||2.8"|||240x320 pixels|||3|||MP|||480p|||256|||MB RAM|||Snapdragon S1|||1500|||mAh|||Li-Ion|||1|||Black|||512MB|||256MB|||https://fdn2.gsmarena.com/vv/bigpic/lg-optimus-pro.jpg
LG A160|||Released 2011, January|||81g, 14.1mm thickness|||Feature phone|||1MB storage, microSD slot|||2.0"|||144x176 pixels|||0.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Black|||1MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-a160.jpg
LG SU920|||Released 2010, July|||97g, 11.7mm thickness|||Feature phone|||microSDHC slot|||3.0"|||240x400 pixels|||3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black, White, Pink|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-su920.jpg
LG KE260|||Released 2006, November|||100g, 21.5mm thickness|||Feature phone|||14MB storage, microSD slot|||1.8"|||176x220 pixels|||1.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1530|||mAh|||Li-Ion|||1|||Black|||14MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-ke260.gif
LG KP265|||Released 2008|||90g, 17mm thickness|||Feature phone|||5MB storage, microSDHC slot|||1.77"|||128x160 pixels|||1.3|||MP|||No video recorder|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||MISSING|||5MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kp265.jpg
LG KG810|||Released 2006, May|||83g, 14.9mm thickness|||Feature phone|||128MB storage, no card slot|||2.0"|||176x220 pixels|||1.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Black|||128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-kg810.gif
LG GS500 Cookie Plus|||Released 2010, April|||92.5g, 11.5mm thickness|||Feature phone|||30MB storage, microSDHC slot|||3.0"|||240x400 pixels|||3|||MP|||240p|||MISSING|||MISSING|||MISSING|||900|||mAh|||Li-Ion|||1|||Black, White Silver,Imperial Purple, Baby Pink, Wine Red, Brown |||30MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/lg-gs500.jpg
LG Spectrum VS920|||Released 2012, January|||141.5g, 10.4mm thickness|||Android 2.3|||4GB 1GB RAM storage, microSDHC slot|||4.5"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S3|||1830|||mAh|||Li-Ion|||1|||Black|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/lg-spectrum-new.jpg
