model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Nokia Asha 310|||Released 2013, March|||103.7g, 13mm thickness|||Feature phone|||20MB 128MB ROM 64MB RAM storage, microSDHC slot|||3.0"|||240x400 pixels|||2|||MP|||144p|||60|||MB RAM|||MISSING|||1110|||mAh|||Li-Ion|||2|||Black, White, Golden Light|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-310.jpg
Nokia 3720 classic|||Released 2009, September|||94g, 15.3mm thickness|||Feature phone|||20MB storage, microSDHC slot|||2.2"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||1050|||mAh|||Li-Ion|||1|||Gray, Yellow|||20MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-3720-classic.jpg
Nokia 2660|||Released 2007, May|||79g, 20.7mm thickness|||Feature phone|||2MB storage, no card slot|||1.85"|||128x160 pixels|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Black|||2MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-2660.gif
Nokia X20|||Released 2021, May 12|||220g, 9.1mm thickness|||Android 11, up to Android 12|||128GB storage, microSDXC|||6.67"|||1080x2400 pixels|||64|||MP|||1080p|||6/8|||GB RAM|||Snapdragon 480 5G|||4470|||mAh|||Li-Po|||2|||Midnight Sun, Nordic Blue|||128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/nokia-x20.jpg
Nokia 2630|||Released 2007, May|||66g, 9.9mm thickness|||Feature phone|||11MB storage, no card slot|||1.8"|||128x160 pixels|||0.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||700|||mAh|||Li-Ion|||1|||Black|||11MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-2630.gif
Nokia C1-02|||Released 2011, January|||77.5g, 13.8mm thickness|||Feature phone|||10MB 64MB ROM 16MB RAM storage, microSDHC slot|||1.8"|||128x160 pixels|||MISSING|||MISSING|||No video recorder|||16|||MB RAM|||MISSING|||1020|||mAh|||Li-Ion|||1|||Black, Dark Plum, Blue and Cool Grey|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-c1-02.jpg
Nokia 6270|||Released 2005, June|||125g, 23mm thickness|||Feature phone|||9MB storage, miniSD slot|||2.2"|||240x320 pixels|||2|||MP|||144p|||MISSING|||MISSING|||MISSING|||970|||mAh|||Li-Ion|||1|||2 - Light Blue and Dark Brown|||9MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-6270.gif
Nokia Asha 205|||Released 2012, Q4|||94g, 13mm thickness|||Feature phone|||64MB storage, microSDHC slot|||2.4"|||320x240 pixels|||0.3|||MP|||144p|||MISSING|||MISSING|||MISSING|||1020|||mAh|||Li-Ion|||2|||Cyan, Magenta, Orange, Pink, White|||64MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-205-new.jpg
Nokia 3510|||Released 2002|||105g, 21mm thickness|||Feature phone|||No card slot||| |||5 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||950|||mAh|||Li-Ion|||1|||Xpress-on covers|||MISSING|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/no3510.gif
Nokia 3110 Evolve|||Released 2008|||87g, 15.6mm thickness|||Feature phone|||9MB storage, microSD slot|||1.8"|||128x160 pixels|||1.3|||MP|||Video recorder|||MISSING|||MISSING|||MISSING|||1020|||mAh|||Li-Ion|||1|||Grey|||9MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/nokia-3110-evolve.gif
