model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Meizu 16 Plus|||Released 2018, August|||182g, 7.3mm thickness|||Android 8.0, Flyme UI|||128GB/256GB storage, no card slot|||6.5"|||1080x2160 pixels|||20|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 845|||3570|||mAh|||Li-Ion|||2|||Black, White|||128GB,256GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-16-plus.jpg
Meizu V8|||Released 2018, September|||145g, 8.4mm thickness|||Android 8.0, Flyme UI|||32GB storage, microSDXC|||5.7"|||720x1440 pixels|||13|||MP|||1080p|||3|||GB RAM|||MT6739|||3200|||mAh|||Li-Ion|||2|||Black, White|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-v8.jpg
Meizu M6T|||Released 2018, June|||145g, 8.4mm thickness|||Android 7.0, Flyme UI|||32GB/64GB storage, microSDXC|||5.7"|||720x1440 pixels|||13|||MP|||1080p|||3/4|||GB RAM|||MT6750|||3300|||mAh|||Li-Ion|||2|||Black, Champagne Gold, Coral Red|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m6t.jpg
Meizu 16|||Released 2018, August|||152g, 7.3mm thickness|||Android 8.1, Flyme UI|||64GB/128GB storage, no card slot|||6.0"|||1080x2160 pixels|||20|||MP|||2160p|||6/8|||GB RAM|||Snapdragon 845|||3010|||mAh|||Li-Ion|||2|||Black, White|||64GB,128GB|||6GB,8GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-16.jpg
Meizu MX5e|||Released 2016, April|||149g, 7.6mm thickness|||Android 5.1, Flyme 5|||16GB/32GB storage, no card slot|||5.5"|||1080x1920 pixels|||16|||MP|||1080p|||3|||GB RAM|||Helio X10|||3150|||mAh|||Li-Ion|||2|||Gray, Gold, Silver, Black/Silver|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg
Meizu MX4|||Released 2014, September|||147g, 8.9mm thickness|||Android 4.4.4, Flyme 4|||16GB/32GB/64GB storage, no card slot|||5.36"|||1152x1920 pixels|||20|||MP|||2160p|||2|||GB RAM|||MediaTek MT6595|||3100|||mAh|||Li-Ion|||1|||Gray, Gold, White|||16GB,32GB,64GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-mx4-new.jpg
Meizu M8c|||Released 2018, June|||140g, 8.5mm thickness|||Android 7.0, Flyme UI|||16GB/32GB storage, microSDXC|||5.45"|||720x1440 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 425|||3070|||mAh|||Li-Ion|||2|||Black, Gold, Blue, Red|||16GB,32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m8c.jpg
Meizu M3|||Released 2016, May|||132g, 8.3mm thickness|||Android 5.1, Flyme 5.1|||16GB/32GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||2870|||mAh|||Li-Ion|||2|||Gray, White, Blue, Pink, Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-m3.jpg
Meizu 18s Pro|||Released 2021, September 23|||189g, 8.1mm thickness|||Android 11, Flyme 9.2|||128GB/256GB storage, no card slot|||6.7"|||1440x3200 pixels|||50|||MP|||4320p|||8/12|||GB RAM|||Snapdragon 888+ 5G|||4500|||mAh|||Li-Po|||2|||Blue, White, Gray|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-18s-pro.jpg
Meizu 18s|||Released 2021, September 23|||162g, 8.2mm thickness|||Android 11, Flyme 9.2|||128GB/256GB storage, no card slot|||6.2"|||1440x3200 pixels|||64|||MP|||2160p|||8/12|||GB RAM|||Snapdragon 888+ 5G|||4000|||mAh|||Li-Po|||2|||Light Blue, White, Aurora, Pink/Violet|||128GB,256GB|||8GB,12GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-18s.jpg
Meizu U10|||Released 2016, August|||139g, 7.9mm thickness|||Android OS|||16GB/32GB storage, no card slot|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||MT6750|||2760|||mAh|||Li-Ion|||2|||Black, White, Shampane Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-u10.jpg
Meizu Zero|||Cancelled|||MISSING|||Android 9.0|||64GB/128GB storage, no card slot|||5.99"|||1080x2340 pixels|||20|||MP|||2160p|||4/6|||GB RAM|||Snapdragon 845|||MISSING|||MISSING|||Li-Ion|||1|||Black, White|||64GB,128GB|||4GB,6GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-zero-.jpg
Meizu PRO 5|||Released 2015, October|||168g, 7.5mm thickness|||Android 5.1, Flyme 5|||32GB/64GB storage, microSDXC|||5.7"|||1080x1920 pixels|||21|||MP|||2160p|||3/4|||GB RAM|||Exynos 7420 Octa|||3050|||mAh|||Li-Ion|||2|||Gray, Gold, Silver, Black/Silver|||32GB,64GB|||3GB,4GB|||https://fdn2.gsmarena.com/vv/bigpic/meizu-pro-5.jpg
