model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
HTC DROID Incredible 4G LTE|||Released 2012, July|||132g, 11.7mm thickness|||Android 4.0.3, Sense UI 4|||8GB storage, microSDHC|||4.0"|||540x960 pixels|||8|||MP|||1080p|||1|||GB RAM|||Snapdragon S4 Plus|||1700|||mAh|||Li-Ion|||1|||Black|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-droid-incredible-4g-lte.jpg
HTC One A9s|||Released 2016, November|||149.8g, 8mm thickness|||Android 6.0, Sense UI|||16GB/32GB storage, microSDXC|||5.0"|||720x1280 pixels|||13|||MP|||1080p|||2/3|||GB RAM|||Helio P10|||2300|||mAh|||Li-Ion|||1|||Black, Silver, Gold|||16GB,32GB|||2GB,3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-a9sr.jpg
HTC Desire 600 dual sim|||Released 2013, June|||130g, 9.3mm thickness|||Android 4.1.2|||8GB storage, microSDXC|||4.5"|||540x960 pixels|||8|||MP|||720p|||1|||GB RAM|||Snapdragon 200|||1860|||mAh|||Li-Ion|||2|||Black, White|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-600.jpg
HTC Sensation|||Released 2011, May|||148g, 11.3mm thickness|||Android 2.3.4, up to 4.0, Sense UI 3|||1GB 768MB RAM storage, microSDHC slot|||4.3"|||540x960 pixels|||8|||MP|||1080p|||768|||MB RAM|||Snapdragon S3|||1520|||mAh|||Li-Ion|||1|||Black, Ice White|||1GB|||768MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-sensation-new.jpg
HTC S620|||Released 2006, September|||130g, 12.8mm thickness|||Microsoft Windows Mobile 5.0 Smartphone|||64MB RAM storage, microSD slot|||2.4"|||240x320 pixels|||1.3|||MP|||Video recorder|||64|||MB RAM|||TI OMAP 850|||960|||mAh|||Li-Ion|||1|||MISSING|||64MB,128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-s620.gif
HTC Tiara|||Cancelled|||12mm thickness|||Microsoft Windows Phone 8, Sense UI|||8GB storage, microSDHC|||4.3"|||480x800 pixels|||8|||MP|||1080p|||1|||GB RAM|||MISSING|||1800|||mAh|||Li-Ion|||1|||Black, White|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-tiara.jpg
HTC One X9|||Released 2016, January|||170g, 8mm thickness|||Android 6.0|||32GB storage, microSDXC|||5.5"|||1080x1920 pixels|||13|||MP|||2160p|||3|||GB RAM|||Helio X10|||3000|||mAh|||Li-Ion|||2|||Black, Silver, Gold, Pink|||32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-one-x9.jpg
HTC TyTN|||Released 2006, June|||176g, 22mm thickness|||Microsoft Windows Mobile 5.0 PocketPC|||64MB RAM storage, microSD slot|||2.8"|||240x320 pixels|||2|||MP|||Video recorder|||64|||MB RAM|||MISSING|||1350|||mAh|||Li-Ion|||1|||Silver, Black|||64MB,128MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-tytn.gif
HTC Touch Pro2 CDMA|||Released 2009, September|||180g, 17mm thickness|||Microsoft Windows Mobile 6.1 Professional|||288MB RAM storage, microSD slot|||3.6"|||480x800 pixels|||3|||MP|||Video recorder|||288|||MB RAM|||MSM7200A|||1500|||mAh|||Li-Ion|||1|||Black/Grey|||288MB,512MB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/htc-touch-pro2-cdma.jpg
HTC Desire VT|||Released 2012, August|||118g, 9.6mm thickness|||Android 4.0, Sense UI 4|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S1|||1650|||mAh|||Li-Ion|||1|||Black, White|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-vt.jpg
HTC Desire 820 dual sim|||Released 2014, November|||155g, 7.7mm thickness|||Android 4.4.2, Sense UI 6|||16GB storage, microSDXC|||5.5"|||720x1280 pixels|||13|||MP|||1080p|||2|||GB RAM|||Snapdragon 615|||2600|||mAh|||Li-Po|||2|||Marble White, Tuxedo Grey, Santorini White, Milky-way Grey, Tangerine White, Saffron Grey, Flamingo Grey, Blue Misty, Monarch Orange|||16GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-820.jpg
HTC Desire C|||Released 2012, June|||100g, 12.3mm thickness|||Android 4.0, not up to 4.1, Sense UI 4|||4GB 512MB RAM storage, microSDHC slot|||3.5"|||320x480 pixels|||5|||MP|||Video recorder|||512|||MB RAM|||Snapdragon S1|||1230|||mAh|||Li-Ion|||1|||Polar White, Stealth Black, Flamenco Red|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-c1.jpg
HTC Desire 501|||Released 2014, February|||130g, 9.8mm thickness|||Android OS|||8GB storage, microSDHC|||4.3"|||480x800 pixels|||8|||MP|||Video recorder|||1|||GB RAM|||MISSING|||2100|||mAh|||Li-Ion|||1|||Black, White, Pink|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-501.jpg
HTC U12+|||Released 2018, June 29|||188g, 8.7mm thickness|||Android 8.0, up to Android 9.0, Sense UI|||64GB/128GB storage, microSDXC|||6.0"|||1440x2880 pixels|||12|||MP|||2160p|||6|||GB RAM|||Snapdragon 845|||3500|||mAh|||Li-Ion|||2|||Translucent Blue, Ceramic Black, Flame Red|||64GB,128GB|||6GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg
HTC Desire 210 dual sim|||Released 2014, June|||130g, 10.5mm thickness|||Android 4.2.2|||4GB 512MB RAM storage, microSDHC slot|||4.0"|||480x800 pixels|||5|||MP|||720p|||512|||MB RAM|||MT6572M|||1300|||mAh|||Li-Po|||2|||Black, white, red|||4GB|||512MB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-210-dual-sim.jpg
HTC Desire 620G dual sim|||Released 2014, December|||160g, 9.6mm thickness|||Android 4.4.4, Sense UI|||8GB storage, microSDHC|||5.0"|||720x1280 pixels|||8|||MP|||1080p|||1|||GB RAM|||MT6592|||2100|||mAh|||Li-Po|||2|||Marble White, Milkyway Gray, Saffron Gray, Santorini White, Tangerine White, Tuxedo Gray|||8GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-620g.jpg
HTC Desire 601 dual sim|||Released 2013, December|||130g, 9.9mm thickness|||Android 4.2.2|||4GB 1GB RAM storage, microSDXC slot|||4.5"|||540x960 pixels|||5|||MP|||1080p|||1|||GB RAM|||MISSING|||2100|||mAh|||Li-Po|||2|||Black, Red, White|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/htc-desire-601-dual-sim.jpg
