model_name|||release_date|||body|||os|||storage_prnt|||display_size|||resolution|||camera_pixel|||pixel_unit|||video_pixel|||ram_prnt|||ram_unit|||chipset|||battery_size|||battery_unit|||battery_type|||sim_slots|||colors|||storage|||ram|||image
Sony Xperia Z3 Dual|||Released 2014, September|||152g, 7.3mm thickness|||Android 4.4.4, up to 6.0|||16GB/32GB storage, microSDXC|||5.2"|||1080x1920 pixels|||20|||MP|||2160p|||3|||GB RAM|||Snapdragon 801|||3100|||mAh|||Li-Ion|||2|||Black, White, Copper, Silver Green|||16GB,32GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg
Sony Xperia M5|||Released 2015, September|||142.5g, 7.6mm thickness|||Android 5.0.1, up to 6.0.1|||16GB storage, microSDXC|||5.0"|||1080x1920 pixels|||21|||MP|||2160p|||3|||GB RAM|||Helio X10|||2600|||mAh|||Li-Ion|||1|||Black, White, Gold|||16GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg
Sony CMD Z1|||Released 1997|||220g, 24mm thickness|||Feature phone|||No card slot||| |||97x32 pixels, 5 lines|||MISSING|||MISSING|||No video recorder|||MISSING|||MISSING|||MISSING|||730|||mAh|||Li-Ion|||1|||MISSING|||MISSING|||MISSING|||MISSING
Sony Xperia M|||Released 2013, August|||115g, 9.3mm thickness|||Android 4.1/ 4.2.2 - C2004/C2005 models|||4GB 1GB RAM storage, microSDHC slot|||4.0"|||480x854 pixels|||5|||MP|||720p|||1|||GB RAM|||Snapdragon S4 Plus MSM8227|||1750|||mAh|||Li-Po|||2|||Black, White, Purple, Yellow (single sim model only)|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m.jpg
Sony Xperia Z5 Compact|||Released 2015, October|||138g, 8.9mm thickness|||Android 5.1.1, up to 7.1.1|||32GB storage, microSDXC|||4.6"|||720x1280 pixels|||23|||MP|||2160p|||2|||GB RAM|||Snapdragon 810|||2700|||mAh|||Li-Ion|||1|||White, Graphite Black, Yellow, Coral|||32GB|||2GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-z5-compact-.jpg
Sony Tablet P 3G|||Released 2011, November|||372g, 14mm thickness|||Android 3.2, up to 4.0|||4GB 1GB RAM storage, microSDHC slot|||5.5"|||1024x480 pixels|||5|||MP|||720p|||1|||GB RAM|||Nvidia Tegra 2 T20|||3080|||mAh|||Li-Ion|||1|||Silver/Black|||4GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-tablet-p.jpg
Sony Xperia ion LTE|||Released 2012, June|||144g, 10.8mm thickness|||Android 2.3, 4.0, up to 4.1.2|||16GB storage, microSDHC|||4.55"|||720x1280 pixels|||12|||MP|||1080p|||1|||GB RAM|||Snapdragon S3|||1900|||mAh|||Li-Ion|||1|||Black, White|||16GB|||1GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-ion-ofic.jpg
Sony Xperia Z3 Tablet Compact|||Released 2014, November|||270g, 6.4mm thickness|||Android 4.4.2, up to 6.0|||16GB storage, microSDXC|||8.0"|||1200x1920 pixels|||8|||MP|||1080p|||3|||GB RAM|||Snapdragon 801|||4500|||mAh|||Li-Ion|||1|||Black, White|||16GB|||3GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3-tablet-compact.jpg
Sony Xperia neo L|||Released 2012, June|||131.5g, 12.2mm thickness|||Android 4.0.4|||1GB storage, microSDHC slot|||4.0"|||480x854 pixels|||5|||MP|||720p|||512|||MB RAM|||Snapdragon S2|||1500|||mAh|||Li-Po|||1|||Black, White|||512MB,1GB|||MISSING|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-neo-l.jpg
Sony Xperia X Ultra|||Cancelled|||MISSING|||Android 7.0|||64GB storage, microSDXC|||6.45"|||1440x2880 pixels|||19|||MP|||Video recorder|||4|||GB RAM|||Snapdragon 660|||3050|||mAh|||Li-Ion|||1|||Gray, Red|||64GB|||4GB|||https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-x-ultra-r.jpg
